key,option,VN,CN,TH
Create a new inspection template for the franchise store system!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_template",Tạo mẫu phiếu giám sát mới cho hệ thống nhượng quyền!,Create a new inspection template for the franchise store system!,Create a new inspection template for the franchise store system!
Franchise Member,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_member",Thành viên nhượng quyền,Franchise Member,Franchise Member
Create a new membership,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_member",Tạo tư cách thành viên mới,Create a new membership,Create a new membership
Each membership links a portal user to a franchise store with a specific role (Owner / Manager / Staff).,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_member",Mỗi tư cách thành viên liên kết một người dùng Portal với cửa hàng nhượng quyền theo vai trò cụ thể (Chủ sở hữu / Quản lý / Nhân viên).,Each membership links a portal user to a franchise store with a specific role (Owner / Manager / Staff).,Each membership links a portal user to a franchise store with a specific role (Owner / Manager / Staff).
Supervision Schedules,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_supervision_schedule",Lịch giám sát,督導排程,ตารางตรวจ
Franchise Inspection Report,"model:ir.actions.report,name:wujia_franchise.action_report_franchise_inspection",Báo cáo Khảo sát Giám sát,加盟門市督導評核報告,รายงานการตรวจประเมินแฟรนไชส์
"'Franchise Inspection Report [%s] [%s]' %
            (object.franchise_id.name or '', (object.planned_date or
            datetime.date.today()).strftime('%d-%m-%Y'))","model:ir.actions.report,print_report_name:wujia_franchise.action_report_franchise_inspection","'Franchise Inspection Report [%s] [%s]' %
            (object.franchise_id.name or '', (object.planned_date or
            datetime.date.today()).strftime('%d-%m-%Y'))","'Franchise Inspection Report [%s] [%s]' %
            (object.franchise_id.name or '', (object.planned_date or
            datetime.date.today()).strftime('%d-%m-%Y'))","'Franchise Inspection Report [%s] [%s]' %
            (object.franchise_id.name or '', (object.planned_date or
            datetime.date.today()).strftime('%d-%m-%Y'))"
Wujia: Auto-expire franchise contract,"model:ir.actions.server,name:wujia_franchise.ir_cron_check_franchise_expired_ir_actions_server",Wujia: Tự động hết hạn hợp đồng nhượng quyền,Wujia: Auto-expire franchise contract,Wujia: Auto-expire franchise contract
Wujia: Recompute franchise member is_currently_valid,"model:ir.actions.server,name:wujia_franchise.ir_cron_recompute_franchise_member_validity_ir_actions_server",Wujia: Tính toán lại hiệu lực thành viên nhượng quyền,Wujia: Recompute franchise member is_currently_valid,Wujia: Recompute franchise member is_currently_valid
Contact,"model:ir.model,name:wujia_franchise.model_res_partner",Thông tin liên hệ,Contact,Contact
User,"model:ir.model,name:wujia_franchise.model_res_users",Người dùng,User,User
Franchise Store Document,"model:ir.model,name:wujia_franchise.model_wujia_franchise_document",Tài liệu cửa hàng nhượng quyền,Franchise Store Document,Franchise Store Document
Franchise Store Inspection Sheet,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection",Phiếu giám sát cửa hàng nhượng quyền,Franchise Store Inspection Sheet,Franchise Store Inspection Sheet
Inspection Staff Attendance / Passed Line,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_attendance_line",Dòng điểm danh / Đạt bài thi của nhân viên,Inspection Staff Attendance / Passed Line,Inspection Staff Attendance / Passed Line
Inspection Category / Group,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_category",Nhóm / Danh mục tiêu chí giám sát,Inspection Category / Group,Inspection Category / Group
Staff Exam Inspection Line,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_exam_line",Dòng bài thi kiểm tra nhân viên,Staff Exam Inspection Line,Staff Exam Inspection Line
Inspection Grade Configuration,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_grade",Cấu hình xếp loại giám sát,Inspection Grade Configuration,Inspection Grade Configuration
Inspection Line Detail,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_line",Chi tiết dòng tiêu chí giám sát,Inspection Line Detail,Inspection Line Detail
Inspection Question Library,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_question",Thư viện câu hỏi giám sát,Inspection Question Library,Inspection Question Library
Inspection Financial Report Line (3 Months),"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_report_line",Chi tiết báo cáo tài chính giám sát (3 tháng),督導財務報告明細 (3個月),รายละเอียดรายงานการเงินการตรวจประเมิน (3 เดือน)
Franchise Store Inspection Template,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_template",Mẫu phiếu giám sát cửa hàng nhượng quyền,Franchise Store Inspection Template,Franchise Store Inspection Template
Import Inspection Criteria Wizard,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_template_import_wizard",Trình hướng dẫn nhập tiêu chí giám sát,Import Inspection Criteria Wizard,Import Inspection Criteria Wizard
Inspection Template Line,"model:ir.model,name:wujia_franchise.model_wujia_franchise_inspection_template_line",Dòng mẫu phiếu giám sát,Inspection Template Line,Inspection Template Line
Wujia Franchise Management,"model:ir.model,name:wujia_franchise.model_wujia_franchise_management",Quản lý nhượng quyền Wujia,Wujia Franchise Management,Wujia Franchise Management
Wujia Franchise Membership,"model:ir.model,name:wujia_franchise.model_wujia_franchise_member",Thành viên nhượng quyền Wujia,Wujia Franchise Membership,Wujia Franchise Membership
Store Supervision Schedule,"model:ir.model,name:wujia_franchise.model_wujia_supervision_schedule",Lịch trình giám sát cửa hàng,Store Supervision Schedule,Store Supervision Schedule
Store code must be unique.,"model:ir.model.constraint,message:wujia_franchise.constraint_wujia_franchise_management_code_uniq",Mã cửa hàng phải là duy nhất.,Store code must be unique.,Store code must be unique.
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_res_partner__display_name",Tên hiển thị,Display Name,Display Name
Store count,"model:ir.model.fields,field_description:wujia_franchise.field_res_partner__franchise_count",Số lượng cửa hàng,Store count,Store count
Franchise store,"model:ir.model.fields,field_description:wujia_franchise.field_res_partner__franchise_ids",Cửa hàng nhượng quyền,Franchise store,Franchise store
ID,"model:ir.model.fields,field_description:wujia_franchise.field_res_partner__id",ID,ID,ID
Is a franchise store,"model:ir.model.fields,field_description:wujia_franchise.field_res_partner__is_franchise",Là cửa hàng nhượng quyền,Is a franchise store,Is a franchise store
TRUE when the partner is used as the contact of at least one wujia.franchise.management.,"model:ir.model.fields,help:wujia_franchise.field_res_partner__is_franchise",ĐÚNG khi đối tác được dùng làm liên hệ của ít nhất một cửa hàng nhượng quyền Wujia.,TRUE when the partner is used as the contact of at least one wujia.franchise.management.,TRUE when the partner is used as the contact of at least one wujia.franchise.management.
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__display_name",Tên hiển thị,Display Name,Display Name
Store count,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__franchise_count",Số lượng cửa hàng,Store count,Store count
Franchise store,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__franchise_ids",Cửa hàng nhượng quyền,Franchise store,Franchise store
ID,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__id",ID,ID,ID
Is a franchise store,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__is_franchise",Là cửa hàng nhượng quyền,Is a franchise store,Is a franchise store
TRUE when the partner is used as the contact of at least one wujia.franchise.management.,"model:ir.model.fields,help:wujia_franchise.field_res_users__is_franchise",ĐÚNG khi đối tác được dùng làm liên hệ của ít nhất một cửa hàng nhượng quyền Wujia.,TRUE when the partner is used as the contact of at least one wujia.franchise.management.,TRUE when the partner is used as the contact of at least one wujia.franchise.management.
Membership count,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__member_count",Số lượng thành viên,Membership count,Membership count
Franchise Memberships,"model:ir.model.fields,field_description:wujia_franchise.field_res_users__member_ids",Danh sách thành viên nhượng quyền,Franchise Memberships,Franchise Memberships
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__display_name",Tên hiển thị,Display Name,Display Name
Download,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__file",Tải xuống,Download,Download
Franchise Store,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__franchise_id",Cửa hàng nhượng quyền,Franchise Store,Franchise Store
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__id",ID,ID,ID
Document Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__name",Tên tài liệu,Document Name,Document Name
Last Updated on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__write_date",Cập nhật lần cuối vào,Last Updated on,Last Updated on
Last Updated by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_document__write_uid",Cập nhật lần cuối bởi,Last Updated by,Last Updated by
Next Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_date_deadline",Hạn chót hoạt động tiếp theo,Next Activity Deadline,Next Activity Deadline
Activity Exception Decoration,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_exception_decoration",Kiểu cảnh báo hoạt động,Activity Exception Decoration,Activity Exception Decoration
Type of the exception activity on record.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__activity_exception_decoration",Loại hoạt động ngoại lệ trên bản ghi.,Type of the exception activity on record.,Type of the exception activity on record.
Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_exception_icon",Biểu tượng,Icon,Icon
Icon to indicate an exception activity.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__activity_exception_icon",Biểu tượng biểu thị một hoạt động ngoại lệ.,Icon to indicate an exception activity.,Icon to indicate an exception activity.
Activities,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_ids",Các hoạt động,Activities,Activities
Activity State,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_state",Trạng thái hoạt động,Activity State,Activity State
"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__activity_state","Trạng thái dựa trên các hoạt động:
Quá hạn: Hạn chót đã qua
Hôm nay: Hạn chót là hôm nay
Đã lên kế hoạch: Các hoạt động trong tương lai.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.","Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities."
Next Activity Summary,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_summary",Tóm tắt hoạt động tiếp theo,Next Activity Summary,Next Activity Summary
Activity Type Icon,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_type_icon",Biểu tượng loại hoạt động,Activity Type Icon,Activity Type Icon
Font awesome icon e.g. fa-tasks,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__activity_type_icon",Biểu tượng Font Awesome ví dụ fa-tasks,Font awesome icon e.g. fa-tasks,Font awesome icon e.g. fa-tasks
Next Activity Type,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_type_id",Loại hoạt động tiếp theo,Next Activity Type,Next Activity Type
Responsible User,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__activity_user_id",Người phụ trách,Responsible User,Responsible User
Staff Attendance,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__attendance_line_ids",Điểm danh nhân viên,Staff Attendance,Staff Attendance
List of employees present during inspection.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__attendance_line_ids",Danh sách nhân viên có mặt trong đợt giám sát.,List of employees present during inspection.,List of employees present during inspection.
GPS Location,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__checkin_address",Vị trí GPS,GPS位置,ตำแหน่ง GPS
GPS coordinates and accuracy information,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__checkin_address",Thông tin tọa độ GPS và độ chính xác,GPS coordinates and accuracy information,GPS coordinates and accuracy information
Check-in Time,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__checkin_time",Thời gian Check-in GPS,GPS簽到時間,เวลาเช็คอิน GPS
GPS location record time,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__checkin_time",Thời gian ghi nhận vị trí GPS,GPS location record time,GPS location record time
Checklist Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__checklist_score",Điểm Checklist,Checklist Score,Checklist Score
Confirmation Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirm_date",Ngày xác nhận,確認日期,วันที่ยืนยัน
Store Manager Confirmer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirmed_member_id",Quản lý cửa hàng xác nhận,Store Manager Confirmer,Store Manager Confirmer
System Confirmer,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__confirmed_user_id",Người xác nhận hệ thống,System Confirmer,System Confirmer
Created on,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__create_date",Ngày tạo,Created on,Created on
Created by,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__create_uid",Người tạo,Created by,Created by
Display Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__display_name",Tên hiển thị,Display Name,Display Name
Staff Exam Lines,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__exam_line_ids",Các câu hỏi thi của nhân viên,Staff Exam Lines,Staff Exam Lines
Staff Exam Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__exam_score",Điểm thi nhân viên,Staff Exam Score,Staff Exam Score
Score calculated from blank fill-in exam questions.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__exam_score",Điểm được tính toán từ các câu hỏi thi điền vào chỗ trống.,Score calculated from blank fill-in exam questions.,Score calculated from blank fill-in exam questions.
Exam Submitted Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__exam_submit_date",Ngày nộp bài thi,Exam Submitted Date,Exam Submitted Date
Franchise Store,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__franchise_id",Cửa hàng nhượng quyền,Franchise Store,Franchise Store
Google Maps URL,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__google_maps_url",Đường dẫn Google Maps,Google Maps URL,Google Maps URL
Link to open inspection location on Google Maps,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__google_maps_url",Đường dẫn mở vị trí giám sát trên Google Maps,Link to open inspection location on Google Maps,Link to open inspection location on Google Maps
Grade,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__grade_id",Xếp loại,等級,เกรด
Has Message,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__has_message",Có tin nhắn,Has Message,Has Message
ID,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__id",ID,ID,ID
Inspection Chart Data,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__inspection_chart_data",Dữ liệu biểu đồ giám sát,Inspection Chart Data,Inspection Chart Data
Inspector Signature,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__inspector_signature_image",Chữ ký giám sát viên,督導人員簽名,ลายเซ็นผู้ตรวจ
Inspector,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__inspector_user_id",Giám sát viên,督導人員,ผู้ตรวจสอบ
Exam Submitted,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__is_exam_submitted",Đã nộp bài thi,Exam Submitted,Exam Submitted
Latitude,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__latitude",Vĩ độ (Latitude),緯度,ละติจูด
Latitude coordinate of inspection,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__latitude",Tọa độ vĩ độ của đợt giám sát,Latitude coordinate of inspection,Latitude coordinate of inspection
Inspection Details,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__line_ids",Chi tiết giám sát,Inspection Details,Inspection Details
Longitude,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__longitude",Kinh độ (Longitude),經度,ลองจิจูด
Longitude coordinate of inspection,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__longitude",Tọa độ kinh độ của đợt giám sát,Longitude coordinate of inspection,Longitude coordinate of inspection
Attachment Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_attachment_count",Số lượng tệp đính kèm,Attachment Count,Attachment Count
Followers,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_follower_ids",Người theo dõi,Followers,Followers
Message Delivery error,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_has_error",Lỗi gửi tin nhắn,Message Delivery error,Message Delivery error
"If checked, some messages have a delivery error.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__message_has_error","Nếu chọn, một số tin nhắn gặp lỗi khi gửi.","If checked, some messages have a delivery error.","If checked, some messages have a delivery error."
Number of errors,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_has_error_counter",Số lượng lỗi,Number of errors,Number of errors
Number of messages with delivery error,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__message_has_error_counter",Số lượng tin nhắn bị lỗi gửi,Number of messages with delivery error,Number of messages with delivery error
SMS Delivery error,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_has_sms_error",Lỗi gửi SMS,SMS Delivery error,SMS Delivery error
"If checked, some messages have a delivery error.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__message_has_sms_error","Nếu chọn, một số tin nhắn gặp lỗi khi gửi.","If checked, some messages have a delivery error.","If checked, some messages have a delivery error."
Messages,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_ids",Tin nhắn,Messages,Messages
Is Follower,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_is_follower",Là người theo dõi,Is Follower,Is Follower
Action Needed,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_needaction",Cần hành động,Action Needed,Action Needed
"If checked, new messages require your attention.","model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__message_needaction","Nếu chọn, có tin nhắn mới cần bạn chú ý.","If checked, new messages require your attention.","If checked, new messages require your attention."
Number of Actions,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_needaction_counter",Số lượng hành động,Number of Actions,Number of Actions
Number of messages requiring action,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__message_needaction_counter",Số lượng tin nhắn cần xử lý,Number of messages requiring action,Number of messages requiring action
Followers (Partners),"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__message_partner_ids",Người theo dõi (Đối tác),Followers (Partners),Followers (Partners)
My Activity Deadline,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__my_activity_date_deadline",Hạn chót hoạt động của tôi,My Activity Deadline,My Activity Deadline
Inspection Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__name",Tên phiếu giám sát,評核表名稱,ชื่อแบบประเมิน
Next Inspection Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__next_due_date",Ngày khảo sát kế tiếp,下次督導日期,วันที่ตรวจครั้งถัดไป
Next Supervision Schedule,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__next_schedule_id",Lịch giám sát tiếp theo,下次督導排程,ตารางตรวจครั้งถัดไป
Passed Staff Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__passed_count",Số nhân viên đạt bài thi,Passed Staff Count,Passed Staff Count
Total number of passed employees.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__passed_count",Tổng số nhân viên đạt bài kiểm tra.,Total number of passed employees.,Total number of passed employees.
Passed Staff,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__passed_member_ids",Danh sách nhân viên đạt,Passed Staff,Passed Staff
List of certified passed employees belonging to the store.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__passed_member_ids",Danh sách nhân viên thuộc cửa hàng đã được chứng nhận đạt bài thi.,List of certified passed employees belonging to the store.,List of certified passed employees belonging to the store.
Planned Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__planned_date",Ngày dự kiến,預計日期,วันที่วางแผน
Present Staff,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__present_count",Nhân viên có mặt,Present Staff,Present Staff
Number of employees present at the store.,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__present_count",Số lượng nhân viên có mặt tại cửa hàng.,Number of employees present at the store.,Number of employees present at the store.
Previous Inspection,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__previous_inspection_id",Phiếu khảo sát trước,上次評核,การตรวจครั้งก่อน
Previous Inspection Notes,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__previous_store_appearance_issues",Ghi nhận đợt trước gần nhất,上次督導缺失記錄,บันทึกการตรวจครั้งก่อน
Store appearance issues and key remediations from previous inspection,"model:ir.model.fields,help:wujia_franchise.field_wujia_franchise_inspection__previous_store_appearance_issues",Các vấn đề diện mạo cửa hàng và khắc phục trọng điểm từ đợt giám sát trước,Store appearance issues and key remediations from previous inspection,Store appearance issues and key remediations from previous inspection
Revenue Report Lines,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__report_line_ids",Chi tiết báo cáo doanh thu,營業額報告明細,รายการรายงานรายได้
Supervision Schedule,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__schedule_id",Lịch trình giám sát,Supervision Schedule,Supervision Schedule
Signature Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__signature_date",Ngày ký,Signature Date,Signature Date
Store Representative Signature,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__signature_image",Chữ ký đại diện cửa hàng,門店負責人簽名,ลายเซ็นตัวแทนร้านค้า
Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__state",Trạng thái,狀態,สถานะ
Store Appearance Issues & Key Remediations,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__store_appearance_issues",Ghi nhận ngoại quan kém & lỗi trọng điểm cần khắc phục,門容外觀不佳及重大缺失改善記錄,บันทึกรูปลักษณ์ที่ไม่ดีและข้อบกพร่องสำคัญ
