id,code,name,sequence,description,active
res_area_565_cdf389ca,565,Quận 12,27,Khu vực Quận 12 - Miền Nam,1
res_area_550_725c814a,550,Bình Chánh,28,Khu vực Bình Chánh - Miền Nam,1
res_area_584_0738e424,584,Củ Chi,29,Khu vực Củ Chi - Miền Nam,1
res_area_579_e25dc85e,579,Hóc Môn,30,Khu vực Hóc Môn - Miền Nam,1
res_area_573_273ba3be,573,Quận Bình Thạnh,31,Khu vực Quận Bình Thạnh - Miền Nam,1
res_area_551_581fad21,551,Quận Bình Tân,32,Khu vực Quận Bình Tân - Miền Nam,1
res_area_559_fb50bd10,559,Gò Vấp,33,Khu vực Gò Vấp - Miền Nam,1
res_area_562_bd5307d1,562,Phú Nhuận,34,Khu vực Phú Nhuận - Miền Nam,1
res_area_560_5af1f3ed,560,Quận Tân Bình,35,Khu vực Quận Tân Bình - Miền Nam,1
res_area_557_e1b2b112,557,Tân Phú,36,Khu vực Tân Phú - Miền Nam,1
res_area_582_ee2f30f6,582,Nhà Bè,37,Khu vực Nhà Bè - Miền Nam,1
res_area_567_3c00c7fe,567,TP Thủ Đức,38,Khu vực TP Thủ Đức - Miền Nam,1
res_area_577_65149835,577,Bến Cát,39,Khu vực Bến Cát - Miền Đông Nam Bộ,1
res_area_569_1ad7beee,569,Dĩ An,40,Khu vực Dĩ An - Miền Đông Nam Bộ,1
res_area_572_dccaa032,572,Lái Thiêu,41,Khu vực Lái Thiêu - Miền Đông Nam Bộ,1
res_area_568_54caeac9,568,Tân Uyên,42,Khu vực Tân Uyên - Miền Đông Nam Bộ,1
res_area_561_1475a15d,561,Thuận An,43,Khu vực Thuận An - Miền Đông Nam Bộ,1
res_area_558_3bc400e1,558,Thủ Dầu Một,44,Khu vực Thủ Dầu Một - Miền Đông Nam Bộ,1
res_area_570_5823b1e5,570,Biên Hòa,45,Khu vực Biên Hòa - Miền Đông Nam Bộ,1
res_area_578_f09ecd44,578,Nhơn Trạch,46,Khu vực Nhơn Trạch - Miền Đông Nam Bộ,1
res_area_596_ae28ab37,596,Long Khánh,47,Khu vực Long Khánh - Miền Đông Nam Bộ,1
res_area_566_32c16cd5,566,Long Thành,48,Khu vực Long Thành - Miền Đông Nam Bộ,1
res_area_613_fa3817ee,613,Tân Biên,49,Khu vực Tân Biên - Miền Đông Nam Bộ,1
res_area_601_2aade156,601,Thống Nhất,50,Khu vực Thống Nhất - Miền Đông Nam Bộ,1
res_area_622_e905c655,622,Trảng Bom,51,Khu vực Trảng Bom - Miền Đông Nam Bộ,1
res_area_598_c62edb5a,598,Xã Hòa Thành,52,Khu vực Xã Hòa Thành - Miền Đông Nam Bộ,1
res_area_600_9c21ab44,600,Huyện Gò Dầu,53,Khu vực Huyện Gò Dầu - Miền Đông Nam Bộ,1
res_area_599_db4c878d,599,Xã Trảng Bàng,55,Khu vực Xã Trảng Bàng - Miền Đông Nam Bộ,1
res_area_614_0697bd8f,614,Bà Rịa,56,Khu vực Bà Rịa - Miền Đông Nam Bộ,1
res_area_592_e2850b58,592,Phú Mỹ,57,Khu vực Phú Mỹ - Miền Đông Nam Bộ,1
res_area_588_9d36eaf0,588,TP Vũng Tàu,58,Khu vực TP Vũng Tàu - Miền Đông Nam Bộ,1
res_area_608_2af6e86c,608,Bến Lức,59,Khu vực Bến Lức - Miền Tây,1
res_area_587_ee9ad4a7,587,Cần Đước,60,Khu vực Cần Đước - Miền Tây,1
res_area_556_fffebc22,556,Cần Giuộc,61,Khu vực Cần Giuộc - Miền Tây,1
res_area_564_ad403c9a,564,Đức Hòa,62,Khu vực Đức Hòa - Miền Tây,1
res_area_586_ae4d3f68,586,Tân An,63,Khu vực Tân An - Miền Tây,1
res_area_594_3b9e0515,594,Cai Lậy,64,Khu vực Cai Lậy - Miền Tây,1
res_area_611_38e29efb,611,Cái Bè,65,Khu vực Cái Bè - Miền Tây,1
res_area_580_e10b8808,580,Mỹ Tho,66,Khu vực Mỹ Tho - Miền Tây,1
res_area_604_f7683665,604,Gò Công,67,Khu vực Gò Công - Miền Tây,1
res_area_597_7db1a0b3,597,Bến Tre,68,Khu vực Bến Tre - Miền Tây,1
res_area_603_cb209839,603,TP Trà Vinh,69,Khu vực TP Trà Vinh - Miền Tây,1
res_area_621_bfc49bb6,621,TP Sóc Trăng,70,Khu vực TP Sóc Trăng - Miền Tây,1
res_area_623_4f0eba22,623,Ngã Bảy,71,Khu vực Ngã Bảy - Miền Tây,1
res_area_605_e13cc590,605,TP Vị Thanh,72,Khu vực TP Vị Thanh - Miền Tây,1
res_area_595_3899e4a6,595,Bình Thủy,73,Khu vực Bình Thủy - Miền Tây,1
res_area_617_276e5fa1,617,Cái Răng,74,Khu vực Cái Răng - Miền Tây,1
res_area_607_bcbfcdc6,607,Cần Thơ,75,Khu vực Cần Thơ - Miền Tây,1
res_area_593_ba440627,593,Ninh Kiều,76,Khu vực Ninh Kiều - Miền Tây,1
res_area_591_04a33ced,591,TP Vĩnh Long,77,Khu vực TP Vĩnh Long - Miền Tây,1
res_area_619_7e344e7f,619,Hồng Ngự,78,Khu vực Hồng Ngự - Miền Tây,1
res_area_585_3244dce5,585,TP Cao Lãnh,79,Khu vực TP Cao Lãnh - Miền Tây,1
res_area_609_d2b2c539,609,TP Sa Đéc,80,Khu vực TP Sa Đéc - Miền Tây,1
res_area_602_e7e4b6b6,602,TP Long Xuyên,81,Khu vực TP Long Xuyên - Miền Tây,1
res_area_610_27b50f98,610,Rạch Sỏi,82,Khu vực Rạch Sỏi - Miền Tây,1
res_area_618_6c54e8db,618,Rạch Giá,83,Khu vực Rạch Giá - Miền Tây,1
