id,code,name,partner_id/id,phone,address,franchise_start_date,franchise_end_date,description,status,portal_locked,invoiced
franchise_h015,H015,Cửa hàng 39 Thạch Lam,wujia_franchise.partner_franchise_h015,0357200100,"39 Thạch Lam, Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh.",2025-11-01,2026-11-01,,active,0,0
franchise_h016,H016,Cửa hàng 29 Bắc Hải,wujia_franchise.partner_franchise_h016,0392494078,"29 Bắc Hải, Phường 15, Quận 10, TP.HCM",2024-11-01,2026-11-01,,active,0,0
franchise_h017,H017,[H017] Cửa hàng 24 Đặng Văn Ngữ,wujia_franchise.partner_franchise_h017,0898098533,"24 Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM",2027-03-18,2027-03-19,Cấm xe tải (500/900),active,0,0
franchise_h018,H018,Cửa hàng D12/56 Đinh Đức Thiện,wujia_franchise.partner_franchise_h018,0366762185,"D12/56 Đinh Đức Thiện, Ấp 4 Xã Bình Chánh, Huyện Bình Chánh, TP.HCM",2026-01-01,2027-01-01,,active,0,0
franchise_h019,H019,Cửa hàng Ô 16-DC36 KDC Việt Sing,wujia_franchise.partner_franchise_h019,0358414879,"Ô 16-DC36, Đường D33, KDC Việt Sing, phường An Phú, Thuận An, Bình Dương",2025-07-22,2026-07-22,CẤM ĐẬU NGÀY LẺ (qua đường D1 đậu gọi nhân viên tiệm),expired,0,0
franchise_h020,H020,Cửa hàng 19 Dương Quảng Hàm,wujia_franchise.partner_franchise_h020,0934199830,"80/32 Dương Quảng Hàm, Phường 05, Quận Gò Vấp, Tp.HCM",2024-07-22,2026-07-22,,expired,0,0
franchise_h021,H021,Cửa hàng 542 Thống Nhất,wujia_franchise.partner_franchise_h021,0896455857,"542 Thống Nhất, Phường 16, Gò Vấp, TPHCM",2026-01-22,2027-01-22,,active,0,0
franchise_h022,H022,Cửa hàng Số 8 Võ Thành Long,wujia_franchise.partner_franchise_h022,0947683986,"Số 8 Võ Thành Long, Phường Phú Cường, Thủ Dầu Một, Quận Bình Dương",2025-01-22,2026-07-22,,expired,0,0
franchise_h023,H023,Cửa hàng 515 Âu Cơ,wujia_franchise.partner_franchise_h023,0773320402,"515 Âu Cơ, Phú Trung, Tân Phú, TP.HCM",2025-07-22,,,draft,0,0
franchise_h024,H024,Cửa hàng C6 Xóm Chiếu,wujia_franchise.partner_franchise_h024,0938097390,"C6 Xóm Chiếu, Phường 13, Quận 4, TP.HCM",2025-09-10,,,draft,0,0
franchise_h025,H025,[H025] Cửa hàng 196 Tỉnh Lộ 10,wujia_franchise.partner_franchise_h025,0909029769,"196 Tỉnh lộ 10, ấp Bình Tả 1, Xã Đức Hòa Hạ, Đức Hòa, Long An",2025-06-10,2026-06-10,,expired,0,0
franchise_h026,H026,Cửa hàng 962 Nguyễn Văn Quá,wujia_franchise.partner_franchise_h026,0902603354,"962 Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12",2025-03-09,2027-03-09,Cấm 1 chiều,active,0,0
franchise_h027,H027,Cửa hàng 44 Nguyễn Trãi,wujia_franchise.partner_franchise_h027,0967652141,"44 Nguyễn Trãi, Phường Thống Nhất 1, TP Dĩ An, Bình Dương.",2027-04-22,2027-04-23,Cấm 16h-18h,active,0,0
franchise_h028,H028,[H028] Cửa hàng 38 Đường Lê Hồng Phong,wujia_franchise.partner_franchise_h028,0962174941,"38 Đường Lê Hồng Phong, Dĩ An, TP HCM",2025-08-05,2027-08-05,,active,0,0
franchise_h032,H032,Cửa hàng Số 3 KP Khánh Hòa,wujia_franchise.partner_franchise_h032,0921863994,"Số 3 Khu Phố Khánh Hòa, Thị xã Tân Uyên, Bình Dương",2025-09-19,2026-09-16,Cấm 2T5,active,0,0
franchise_h033,H033,Cửa hàng 24 Lý Thường Kiệt,wujia_franchise.partner_franchise_h033,0334435084,"24 Lý Thường Kiệt, Dĩ An, Bình Dương",2024-05-15,2026-05-15,Cấm 16h-18h,expired,0,0
franchise_h034,H034,Cửa hàng 15A/1 Nguyễn Ảnh Thủ,wujia_franchise.partner_franchise_h034,0854389017,"15A/1 Nguyễn Ảnh Thủ ,Phường Hiệp Thành , Quận 12 , TP.HCM",2024-06-02,2026-06-02,,expired,0,0
franchise_h036,H036,Cửa hàng 181/104 Âu Dương Lân,wujia_franchise.partner_franchise_h036,0969967025,"181/104 Âu Dương Lân, Phường 2, Quận 8, TP.HCM",2025-06-18,2026-06-18,Hẻm nhỏ (500/900),expired,0,0
franchise_h037,H037,Cửa hàng C180 Lái Thiêu,wujia_franchise.partner_franchise_h037,0934179286,"C180, Khu Phố Bình Đức 1, Phường Lái Thiêu, Bình Dương",2027-05-02,2027-05-03,"Cấm dừng, cấm đậu",active,0,0
franchise_h038,H038,Cửa hàng 360 Lê Quang Sung,wujia_franchise.partner_franchise_h038,0908185992,"360 Lê Quang Sung, Phường 9, Quận 6, TP.HCM",2025-10-16,2026-10-16,,active,0,0
franchise_h039,H039,Cửa hàng 459 Nguyễn Văn Khối,wujia_franchise.partner_franchise_h039,0906706267,"459 Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, TP.HCM",2024-06-18,2026-06-18,,expired,0,0
franchise_h042,H042,Cửa hàng 59 Phạm Văn Hai,wujia_franchise.partner_franchise_h042,0772908742,"59 Phạm Văn Hai, Phường 2, Quận Tân Bình, TP HCM",2025-12-18,2026-12-18,,active,0,0
franchise_h043,H043,Cửa hàng 289 Nguyễn Văn Quá,wujia_franchise.partner_franchise_h043,0329180830,"289 Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TP.HCM",2025-11-01,2026-11-01,,active,0,0
franchise_h044,H044,Cửa hàng 28 Vũ Huy Tấn,wujia_franchise.partner_franchise_h044,0363479690,"28 Vũ Huy Tấn, Phường 3, Quận Bình Thạnh, TP.HCM",2025-05-16,2026-05-16,Cấm tải 1 chiều,expired,0,0
franchise_h045,H045,Cửa hàng 258 Đỗ Xuân Hợp,wujia_franchise.partner_franchise_h045,0792144033,"258 Đỗ Xuân Hợp, Phường Phước Long A, Quận Thủ Đức, TP.HCM",2024-11-02,2026-11-02,,active,0,0
franchise_h046,H046,Cửa hàng 102 Độc Lập,wujia_franchise.partner_franchise_h046,0906630815,"102 Độc Lập, Phường Tân Thành, Quận Tân Phú, TP.HCM",2025-06-01,2026-06-01,,expired,0,0
franchise_h047,H047,[H047] Cửa hàng 765 Tân Kỳ Tân Quý,wujia_franchise.partner_franchise_h047,0938314663,"765, Tân Kỳ Tân Quý, Bình Hưng Hòa A, Quận Bình Tân, TP HCM",2024-12-01,2026-12-01,,active,0,0
franchise_h048,H048,Cửa hàng 232 Nguyễn Thượng Hiền,wujia_franchise.partner_franchise_h048,0328.456.237,"232 Nguyễn Thượng Hiền, Phường 4, Quận 3, TP.HCM",2025-06-01,2026-06-01,,expired,0,0
franchise_h050,H050,Cửa hàng 125  Nguyễn Văn Tăng,wujia_franchise.partner_franchise_h050,0937907315,"Số 125  Nguyễn Văn Tăng, Phường Long Bình, Thủ Đức.",2025-11-01,2026-11-01,,active,0,0
franchise_h051,H051,Cửa hàng 336 Lê Đức Thọ,wujia_franchise.partner_franchise_h051,0707847039,"336 Lê Đức Thọ, phường 6, quận Gò Vấp",2024-12-11,2026-12-11,,active,0,0
franchise_h052,H052,Cửa hàng 39 CMT8,wujia_franchise.partner_franchise_h052,0984640643,"77 Cách Mạng Tháng Tám, Phường Hiệp Thành, Thủ Dầu Một, Bình Dương",2025-12-03,2026-12-03,Cấm 5T,active,0,0
franchise_h053,H053,Cửa hàng 640 Huỳnh Văn Lũy,wujia_franchise.partner_franchise_h053,0908228147,"640 Huỳnh Văn Lũy, Phường Phú Mỹ, TP Thủ Dầu Một, Bình Dương",2025-12-19,2026-06-19,,expired,0,0
franchise_h054,H054,Cửa hàng 29/1 Nguyễn Gia Trí,wujia_franchise.partner_franchise_h054,0937792631,"29/1 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh",2025-12-23,2026-12-23,,active,0,0
franchise_h056,H056,[H056] Cửa hàng 29 Hoa Sứ,wujia_franchise.partner_franchise_h056,0901605811,"29 Hoa Sứ, Phường 7, Quận Phú Nhuận, TP.HCM",2025-01-21,2027-01-21,,active,0,0
franchise_h057,H057,Cửa hàng 30A1 Thích Quảng Đức,wujia_franchise.partner_franchise_h057,0982285071,"30A1 Thích Quảng Đức, P5, Quận Phú Nhuận, TP.HCM",2025-07-02,2026-07-02,"Cấm 1 chiều, cấm dừng đổ",expired,0,0
franchise_h058,H058,Cửa hàng 81A Lâm Văn Bền,wujia_franchise.partner_franchise_h058,0986879608,"81A Lâm Văn Bền, Phường Tân Thuận Tây, Quận 7, TP.HCM",2025-01-07,2027-01-07,,active,0,0
franchise_h059,H059,[H059] Cửa hàng 13 Trần Quốc Toản,wujia_franchise.partner_franchise_h059,0774707272,"13 Trần Quốc Toản, Phường 8, Quận 3, TP.HCM",2025-08-20,2026-08-20,Cấm 1 chiều,expired,0,0
franchise_h061,H061,Cửa hàng Đường D3,wujia_franchise.partner_franchise_h061,0898796339,"Đường D3, Mỹ Phước I, Bến Cát, Bình Dương",2027-03-24,2027-03-25,,active,0,0
franchise_h063,H063,Cửa hàng 43 Hoàng Diệu 2,wujia_franchise.partner_franchise_h063,0798668105,"43 Hoàng Diệu 2, Phường Linh Trung, Quận Thủ Đức, TP.HCM",2025-02-08,2027-02-08,,active,0,0
franchise_h064,H064,Cửa hàng 50 Văn Cao,wujia_franchise.partner_franchise_h064,0904633036,"50 Văn Cao ,Phú Thọ Hòa ,Tân Phú ,TPHCM",2027-02-20,2027-02-21,,active,0,0
franchise_h065,H065,[H065] Cửa hàng 20 Tăng Nhơn Phú,wujia_franchise.partner_franchise_h065,0896447876,"20 Tăng Nhơn Phú Phường Phước Long B Quận 9 Thành Phố Thủ Đức, TP.HCM",2026-02-23,2027-02-23,,active,0,0
franchise_h066,H066,[H066] Cửa hàng 153 Phổ Quang,wujia_franchise.partner_franchise_h066,0937885059,"153 Phổ Quang, Phường 9, Quận Phú Nhuận",2025-11-01,2026-11-01,,active,0,0
franchise_h067,H067,Cửa hàng 93/1B Lê Lợi,wujia_franchise.partner_franchise_h067,0372933239,"93/1B, Đường Lê Lợi, Ấp Dân Thắng 2, P Tân Thới Nhì, Hóc Môn",2027-02-26,2027-02-27,,active,0,0
franchise_h068,H068,[H068] Cửa hàng 1C Tân Hòa Đông,wujia_franchise.partner_franchise_h068,0866640397,"1C Tân Hòa Đông , P13 Quận 6, TP.HCM",2027-02-20,2027-02-21,,active,0,0
franchise_h069,H069,Cửa hàng 145 Ngô Tất Tố,wujia_franchise.partner_franchise_h069,0362417272,"145 Ngô Tất Tố, Phường 22, Quận Bình Thạnh , TP.HCM",2027-02-27,2027-02-28,,active,0,0
franchise_h070,H070,[H070] Cửa hàng 3B Bùi Minh Trực,wujia_franchise.partner_franchise_h070,0937695807,"3B Bùi Minh Trực, Phường 5, Quận 8, TP.HCM",2027-03-01,2027-03-02,Đường nhỏ-ngay chợ (ưu tiên xe nhỏ) 15-22.05 mở cửa bán lúc 11:00,active,0,0
franchise_h071,H071,Cửa hàng 244 Đường Số 8,wujia_franchise.partner_franchise_h071,0962798735,"244 Đường Số 8, Linh Xuân, Thủ Đức, TP HCM",2027-03-08,2027-03-09,,active,0,0
franchise_h073,H073,[H073] Cửa hàng 97 Bùi Văn Hòa,wujia_franchise.partner_franchise_h073,0907464205,"97 Bùi Văn Hòa phường Long Bình, Biên Hòa, Đồng Nai",2025-06-12,2027-06-12,,active,0,0
franchise_h074,H074,Cửa hàng 959 Lạc Long Quân,wujia_franchise.partner_franchise_h074,0948747304,"959 Lạc Long Quân, Phường 11, Quận Tân Bình",2025-03-14,2027-03-14,,active,0,0
franchise_h075,H075,[H075] Cửa hàng 468 Nguyễn Thái Sơn,wujia_franchise.partner_franchise_h075,0978038617,"468 Nguyễn Thái Sơn, phường 5, Quận Gò Vấp",2025-03-13,2027-03-13,,active,0,0
franchise_h076,H076,Cửa hàng 2A Phạm Thế Hiển,wujia_franchise.partner_franchise_h076,0939729176,"2A Lô 37 Phạm Thế Hiển, Phường 4, Quận 8, TP.HCM",2025-03-22,2027-03-22,,active,0,0
franchise_h077,H077,Cửa hàng Số 1 Hoàng Hoa Thám,wujia_franchise.partner_franchise_h077,0327792379,"Số 1 Hoàng Hoa Thám, Phường 13, Tân Bình, TP.HCM",2027-03-12,2027-03-13,"Cấm dừng, cấm đổ",active,0,0
franchise_h078,H078,Cửa hàng 52 Cô Giang,wujia_franchise.partner_franchise_h078,0904560790,"52 Cô Giang , Phường Cô Giang , Quận 1 , TP.HCM",2025-09-15,2026-09-15,,active,0,0
franchise_h079,H079,Cửa hàng 166 Bùi Đình Túy,wujia_franchise.partner_franchise_h079,0931825166,"166 Bùi Đình Túy, Phường 12, Quận Bình Thạnh, TP.HCM",2025-03-16,2026-09-16,,active,0,0
franchise_h080,H080,Cửa hàng 191 Lê Văn Lương,wujia_franchise.partner_franchise_h080,0347076730,"191 Lê Văn Lương, Phường Tân Kiểng, Quận 7, TPHCM",2025-03-15,2027-03-15,"Cấm dừng, cấm đổ",active,0,0
franchise_h081,H081,Cửa hàng 787 Hậu Giang,wujia_franchise.partner_franchise_h081,0362713872,"787 Hậu Giang, Phường 11, Quận 6, TPHCM",2027-03-26,2027-03-27,,active,0,0
franchise_h082,H082,[H082] Cửa hàng 430 Quốc Lộ 50,wujia_franchise.partner_franchise_h082,0394043474,"430 Quốc Lộ 50, Xã Bình Hưng, TpHCM",2025-12-15,2027-12-15,,active,0,0
franchise_h083,H083,Cửa hàng 13 Nguyễn Thị Định,wujia_franchise.partner_franchise_h083,0906800182,"13 Nguyễn Thị Định, Phường An Phú, Quận 2, TPHCM",2025-03-27,2027-03-27,,active,0,0
franchise_h084,H084,Cửa hàng 1524 Nguyễn Ái Quốc,wujia_franchise.partner_franchise_h084,0818029996,"1524 Nguyễn Ái Quốc, Phường Tân Phong , TP Biên Hòa, Tỉnh Đồng Nai",2027-03-27,2027-03-28,Cấm trên 2T,active,0,0
franchise_h085,H085,Cửa hàng 388 Lê Văn Quới,wujia_franchise.partner_franchise_h085,0909831720,"388 Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân",2027-03-28,2027-03-29,Ngay chợ-đường nhỏ (500/900),active,0,0
franchise_h086,H086,Cửa hàng 129 Đặng Văn Bi,wujia_franchise.partner_franchise_h086,0792144033,"129 Đặng Văn Bi, Phường Trường Thọ, Thủ Đức",2026-03-31,2027-03-31,,draft,0,0
franchise_h087,H087,Cửa hàng 27 Huỳnh Văn Bánh,wujia_franchise.partner_franchise_h087,0797828863,"27 Huỳnh Văn Bánh, Phường 17, Phú Nhuận, Thành phố Hồ Chí Minh",2027-04-02,2027-04-03,Cấm tải (500/900),active,0,0
franchise_h088,H088,Cửa hàng 56 Tân Quý,wujia_franchise.partner_franchise_h088,0382014078,"56 Tân Quý , Phường Tân Quý , Quận Tân Phú , TPHCM",2027-04-05,2027-04-06,Ngay ngã tư đèn đỏ-cấm dừng cấm đậu (xe 900kg),active,0,0
franchise_h089,H089,Cửa hàng 18/1 Phan Văn Hớn,wujia_franchise.partner_franchise_h089,0933194986,"18/1 Đường Phan Văn Hớn, Ấp Trung Lân, xã Bà Điểm, Hóc Môn",2027-04-04,2027-04-05,Cấm 1 chiều,active,0,0
franchise_h090,H090,Cửa hàng 695 Xô Viết - Nghệ Tĩnh,wujia_franchise.partner_franchise_h090,0979846626,"695 Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh",2027-04-04,2027-04-05,,active,0,0
franchise_h091,H091,[H091] Cửa hàng 161 Ấp Quới An,wujia_franchise.partner_franchise_h091,093 9953691,"161 Ấp Quới An, Giao Long, Tỉnh Bến Tre",2026-08-27,,,expired,0,0
franchise_h092,H092,Cửa hàng 366 Nguyễn Văn Nghi,wujia_franchise.partner_franchise_h092,0364417272,"366 Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp",2025-04-09,2027-04-09,,active,0,0
franchise_h093,H093,Cửa hàng 414 Tùng Thiện Vương,wujia_franchise.partner_franchise_h093,0909658802,"414 Tùng Thiện Vương ，Phường 13 ,Quận 8, TPHCM",2027-04-13,2027-04-14,,active,0,0
franchise_h094,H094,Cửa hàng 200 Đồng Đen,wujia_franchise.partner_franchise_h094,0382164515,"200 Đồng Đen, Phường 14, Quận Tân Bình, TP.HCM",2025-05-26,2026-05-26,,expired,0,0
franchise_h097,H097,Cửa hàng 2068 Phạm Thế Hiển,wujia_franchise.partner_franchise_h097,0934036438,"2068 Phạm Thế Hiển,Phường 6, Quận 8, TPHCM",2025-05-01,2027-05-01,,active,0,0
franchise_h098,H098,Cửa hàng 89 Hoàng Hoa Thám,wujia_franchise.partner_franchise_h098,0365365879,"89 Hoàng Hoa Thám, Phường 7, Bình Thạnh",2025-04-19,2027-04-19,,active,0,0
franchise_h099,H099,Cửa hàng Tổ 3 KP Khánh Long,wujia_franchise.partner_franchise_h099,0933194149,"Tổ 3 KP Khánh Long, Tân Phước Khánh, Tân Uyên, Bình Dương",2027-04-20,2027-04-21,,active,0,0
franchise_h100,H100,Cửa hàng 64 Huỳnh Mẫn Đạt,wujia_franchise.partner_franchise_h100,0772632512,"64 Huỳnh Mẫn Đạt, Phường 2 , Quận 5",2025-05-11,2026-05-11,,expired,0,0
franchise_h101,H101,[H101] Cửa hàng 129 Hiệp Bình,wujia_franchise.partner_franchise_h101,0938603622,"129 Đường Hiệp Bình, Hiệp Bình Chánh, Thủ Đức , TPHCM",2027-04-21,2027-04-22,,active,0,0
franchise_h102,H102,[H102] Cửa hàng 308 CMT8,wujia_franchise.partner_franchise_h102,0904134139,"308 Cách Mạng Tháng 8, Phường 10, Quận 3",2025-04-21,2027-04-21,Cấm tải (500/900),active,0,0
franchise_h103,H103,[H103] Cửa hàng 141 Tôn Đản,wujia_franchise.partner_franchise_h103,0909953291,"141 Tôn Đản, Phường 14, Quận 4, TPHCM",2025-04-29,2027-04-29,,active,0,0
franchise_h104,H104,Cửa hàng 100 Đường 17,wujia_franchise.partner_franchise_h104,0394356060,"Số 100 đường 17, Phường Tân Kiểng, Quận 7,TPHCM",2027-04-29,2027-04-30,,active,0,0
franchise_h105,H105,Cửa hàng 831 Lê Văn Lương,wujia_franchise.partner_franchise_h105,0967194830,"831 Lê Văn Lương, Xã Phước Kiểng, Huyện Nhà Bè, TPHCM",2027-05-02,2027-05-03,,active,0,0
franchise_h107,H107,[H107] Cửa hàng 540 Lê Quang Định,wujia_franchise.partner_franchise_h107,0389507272,"540 Lê Quang Định, Phường 1, Gò Vấp, TP HCM",2027-05-05,2027-05-06,,active,0,0
franchise_h108,H108,Cửa hàng 313C An Dương Vương,wujia_franchise.partner_franchise_h108,0867889619,"313C An Dương Vương, Phường An Lạc, Quận Bình Tân",2027-04-03,2027-04-04,,active,0,0
franchise_h109,H109,Cửa hàng 29 Đường 11,wujia_franchise.partner_franchise_h109,0386002499,"Số 29 Đường 11 , Linh Xuân ,Thủ Đức , TP.HCM",2025-06-11,2026-06-11,,expired,0,0
franchise_h110,H110,Cửa hàng 518 Dương Bá Trạc,wujia_franchise.partner_franchise_h110,0763423511,"518 Dương Bá Trạc, Phường 1, Quận 8 ,TP.HCM",2025-06-11,2026-06-11,,expired,0,0
franchise_h111,H111,Cửa hàng 192 Tân Sơn Nhì,wujia_franchise.partner_franchise_h111,0859070067,"192 Tân Sơn Nhì, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh",2022-06-12,2026-06-12,,expired,0,0
franchise_h112,H112,[H112] Cửa hàng 113/5 Nguyễn Văn Tạo,wujia_franchise.partner_franchise_h112,0797828389,"113/5 Nguyễn Văn Tạo, Hiệp Phước, Nhà Bè",2027-04-01,2027-04-02,,active,0,0
franchise_h113,H113,Cửa hàng 187 Thống Nhất,wujia_franchise.partner_franchise_h113,0909230585,"187 Thống Nhất, P11, Quận Gò Vấp",2025-06-21,2026-06-21,,expired,0,0
franchise_h114,H114,Cửa hàng 366 Lê Văn Việt,wujia_franchise.partner_franchise_h114,0969624665,"366 Lê Văn Việt, Phường Hiệp Phú, Quận 9, Thủ Đức, TP HCM",2025-06-24,2026-06-24,,expired,0,0
franchise_h115,H115,[H115] Cửa hàng 281 Tô Hiến Thành,wujia_franchise.partner_franchise_h115,0344800795,"281 Tô Hiến Thành, phường 13  Quận 10, TP HCM",2026-06-21,2026-06-21,,expired,0,0
franchise_h116,H116,Cửa hàng 181 Nguyễn Gia Trí,wujia_franchise.partner_franchise_h116,0936001026,"181 Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh",2025-06-21,2026-06-21,,expired,0,0
franchise_h117,H117,[H117] Cửa hàng 11/10 Nguyễn Thái Sơn,wujia_franchise.partner_franchise_h117,0909537015,"11/10 Nguyễn Thái Sơn, P3, Gò Vấp, TP.HCM",2022-08-10,2026-08-12,Cấm 2T5,expired,0,0
franchise_h118,H118,Cửa hàng 382 Hồ Ngọc Lãm,wujia_franchise.partner_franchise_h118,0779072118,"382 Hồ Học Lãm, Phường An Lạc, Quận Bình Tân ,TPHCM",2025-07-01,2026-07-01,,expired,0,0
franchise_h119,H119,Cửa hàng 1170 Tỉnh Lộ 10,wujia_franchise.partner_franchise_h119,0931324028,"1170 Tỉnh Lộ 10 , Phường Tân Tạo, Quận Bình Tân , TP. HCM",2025-07-01,2026-07-01,,expired,0,0
franchise_h120,H120,Cửa hàng 174 Đường 11,wujia_franchise.partner_franchise_h120,0908159984,"174 Đường 11, KP1, Phường Hòa Phú, Thủ Dầu Một, Bình Dương",2025-07-01,2026-07-01,,expired,0,0
franchise_h121,H121,[H121] Cửa hàng 46E Phan Huy Ích,wujia_franchise.partner_franchise_h121,0931015143,"46E Phan Huy Ích , Phường 15 ,Quận Tân Bình ,TPHCM",2025-07-05,2027-07-05,,active,0,0
franchise_h122,H122,[H122] Cửa hàng 217 Nguyễn Duy Trinh,wujia_franchise.partner_franchise_h122,0901834182,"217 Nguyễn Duy Trinh, Phường Bình Trưng Tây, Thủ Đức",2025-09-16,2026-09-16,,active,0,0
franchise_h123,H123,Cửa hàng 437 Kha Vạn Cân,wujia_franchise.partner_franchise_h123,0765815008,"437 Kha Vạn Cân , Linh Đông , Thủ Đức, TP.HCM",2025-07-05,2026-07-05,,expired,0,0
franchise_h124,H124,Cửa hàng VSip 2A,wujia_franchise.partner_franchise_h124,0933298117,"VSIP 2A Đường Số 19,KP4, Phường Vĩnh Tân, Thị Xã Tân Uyên, Bình Dương",2027-04-14,2027-04-15,,active,0,0
franchise_h125,H125,Cửa hàng 274 Hoàng Diệu,wujia_franchise.partner_franchise_h125,0366007468,"274 Hoàng Diệu 2, Phường Linh Chiểu, TP. Thủ Đức",2025-07-14,2026-07-14,,expired,0,0
franchise_h126,H126,Cửa hàng 194 Phạm Hùng,wujia_franchise.partner_franchise_h126,0966188041,"194 Phạm Hùng, Ấp 4, Xã Bình Hưng, Huyện Bình Chánh, TPHCM",2025-09-28,2027-09-28,"Ưu tiên 900, đường nhỏ",active,0,0
franchise_h127,H127,Cửa hàng Lô C2-07,wujia_franchise.partner_franchise_h127,0337801931,"Lô C2-07, đường TC3, khu phố 3, phường Mỹ Phước, TP Bến Cát, Bình Dương.",2025-11-15,2026-11-15,,active,0,0
franchise_h128,H128,Cửa hàng 33B Nguyễn Bỉnh Khiêm,wujia_franchise.partner_franchise_h128,0789311108,"33B Nguyễn Bỉnh Khiêm, Đa Kao , Quận 1, TP.HCM",2025-07-13,2026-07-13,Cấm dừng-cấm đỗ (500/900),expired,0,0
franchise_h129,H129,Cửa hàng 292 Trần Hưng Đạo,wujia_franchise.partner_franchise_h129,0856665610,"292 Trần Hưng Đạo ,Phường 11 ,Quận 5",2025-09-01,2026-09-01,,active,0,0
franchise_h130,H130,Cửa hàng 197 Lý Thường Kiệt,wujia_franchise.partner_franchise_h130,0835755036,"197 Lý Thường Kiệt , Phường 7, Quận 11, Thành Phố Hồ Chí Minh",2022-07-28,2026-07-28,,expired,0,0
franchise_h132,H132,Cửa hàng 253 Nguyễn Xí,wujia_franchise.partner_franchise_h132,0908213435,"253 Nguyễn Xí , Phường 13, Quận Bình Thạnh , TP. HCM",2025-07-28,2026-07-28,,expired,0,0
franchise_h133,H133,[H133] Cửa hàng 145 Đường Số 1,wujia_franchise.partner_franchise_h133,0372835108,"145 Đường Số 1, Phường Bình Trị Đông B, Quận Bình Tân",2025-08-02,2026-08-02,,expired,0,0
